Offset Frequency (Hz),Phase Noise (dBc/Hz)
+3.48847535295e+005,-1.29568887372e+002
+3.55130192606e+005,-1.43298123524e+002
+3.61525999011e+005,-1.43541348103e+002
+3.68036992298e+005,-1.43010588560e+002
+3.74665246955e+005,-1.43528797921e+002
+3.81412874828e+005,-1.43070397320e+002
+3.88282025801e+005,-1.33841937936e+002
+3.95274888473e+005,-1.42191018372e+002
+4.02393690862e+005,-1.43399679704e+002
+4.09640701111e+005,-1.44176011707e+002
+4.17018228212e+005,-1.43710355214e+002
+4.24528622739e+005,-1.43047646490e+002
+4.32174277604e+005,-1.40361953590e+002
+4.39957628810e+005,-1.43599005136e+002
+4.47881156235e+005,-1.43692587866e+002
+4.55947384417e+005,-1.43109494851e+002
+4.64158883361e+005,-1.43773325926e+002
+4.72518269359e+005,-1.43504691186e+002
+4.81028205818e+005,-1.44058709947e+002
+4.89691404115e+005,-1.43996877593e+002
+4.98510624459e+005,-1.43199127110e+002
+5.07488676766e+005,-1.43883868061e+002
+5.16628421561e+005,-1.43040393980e+002
+5.25932770886e+005,-1.43538798064e+002
+5.35404689227e+005,-1.43600476644e+002
+5.45047194461e+005,-1.44682988417e+002
+5.54863358815e+005,-1.44061593147e+002
+5.64856309846e+005,-1.39455975741e+002
+5.75029231439e+005,-1.44299447224e+002
+5.85385364818e+005,-1.43918038932e+002
+5.95928009583e+005,-1.44659744495e+002
+6.06660524757e+005,-1.38786768911e+002
+6.17586329859e+005,-1.44186823055e+002
+6.28708905992e+005,-1.44391563529e+002
+6.40031796953e+005,-1.43943831751e+002
+6.51558610364e+005,-1.39020290660e+002
+6.63293018816e+005,-1.43672979873e+002
+6.75238761044e+005,-1.44395039593e+002
+6.87399643118e+005,-1.43532560571e+002
+6.99779539652e+005,-1.41139617636e+002
+7.12382395042e+005,-1.44161639592e+002
+7.25212224722e+005,-1.44328111245e+002
+7.38273116442e+005,-1.40435895627e+002
+7.51569231572e+005,-1.44369338053e+002
+7.65104806427e+005,-1.45083732270e+002
+7.78884153618e+005,-1.41355176609e+002
+7.92911663423e+005,-1.42935849712e+002
+8.07191805189e+005,-1.42663522795e+002
+8.21729128755e+005,-1.42042300484e+002
+8.36528265901e+005,-1.43203547449e+002
+8.51593931825e+005,-1.43608086930e+002
+8.66930926644e+005,-1.43437701503e+002
+8.82544136923e+005,-1.43590238583e+002
+8.98438537235e+005,-1.43203061501e+002
+9.14619191741e+005,-1.44168748792e+002
+9.31091255809e+005,-1.44238889619e+002
+9.47859977652e+005,-1.43591740911e+002
+9.64930700003e+005,-1.43434867515e+002
+9.82308861817e+005,-1.43406604837e+002
+1.00000000000e+006,-1.43759454308e+002
